instance,seed,cpu,cap,arm,sha,reported_answer,verified_sat_model,conflicts,instructions,cycles,branches,branch_misses,wall_s,record_id
crn_11_99_u,2,2,10000000,baseline-mode-matched,0263862,unsat,False,81428,10695850639,6063179094,2242666200,109435872,1.391847,fb0ff880c13db652
crn_11_99_u,2,2,10000000,candidate-eager-final,219bed6,unsat,False,81428,10571023557,6273186449,2230836611,97069422,2.619323,afd42da449107dfb
crn_11_99_u,2,2,10000000,candidate-eager-normalization,2bd403c,unsat,False,81428,10569256044,5531316581,2230549642,95514677,1.219009,d851bb84c55579cd
crn_11_99_u,3,2,10000000,baseline-mode-matched,0263862,unsat,False,81499,10849865543,6201204724,2289317152,111718054,1.428962,cbc3926aea6095ea
crn_11_99_u,3,2,10000000,candidate-eager-final,219bed6,unsat,False,81499,10726437767,6035040212,2277580656,98535077,2.092791,d6e7779c4aeffd4f
crn_11_99_u,3,2,10000000,candidate-eager-normalization,2bd403c,unsat,False,81499,10725093312,5739910212,2277392133,97982662,1.319461,7f0532a19a9e3913
j3037,1,2,10000000,baseline-mode-matched,0263862,unsat,False,342242,262095219100,232878824826,55301096966,2461188547,49.605248,ea325f0a86b90b36
j3037,1,2,10000000,candidate-eager-normalization,2bd403c,unsat,False,342242,260379311731,217458770126,55131777102,2257889783,46.978527,83392d829e5934c4
noL_11_14,1,2,100000,baseline-mode-matched,0263862,unknown,False,100000,18424068359,11307263133,3810688996,191225720,2.578024,d88be509487959ef
noL_11_14,1,2,100000,candidate-eager-normalization,2bd403c,unknown,False,100000,18214186443,10418222800,3791376594,166783984,2.381134,9407d71d1c080877
si2-b03m,1,2,10000000,baseline-mode-matched,0263862,sat,True,27091,19948269201,10975228941,4729337135,31156647,2.535165,9f380be67e368f4a
si2-b03m,1,2,10000000,candidate-eager-final,219bed6,sat,True,27091,19818984206,9931417198,4718637581,29272149,2.331002,f4dbcebe023bd794
si2-b03m,1,2,10000000,candidate-eager-normalization,2bd403c,sat,True,27091,19812551207,11253125526,4717076624,29296865,2.542473,196352f4571033cf
si2-b03m,2,2,10000000,baseline-mode-matched,0263862,sat,True,25703,21542896258,12044045845,5108697873,30947906,2.67457,f8816afb58ee9495
si2-b03m,2,2,10000000,candidate-eager-final,219bed6,sat,True,25703,21395043646,11088275208,5096363217,29256488,2.693030,acac8e9df36c77c6
si2-b03m,2,2,10000000,candidate-eager-normalization,2bd403c,sat,True,25703,21388903759,11178279372,5094862581,29189208,2.530866,e9ab790ba71525a1
si2-b03m,3,2,10000000,baseline-mode-matched,0263862,sat,True,37803,26328155649,10810001688,6233576432,48479482,2.521069,50e8a837afc0742a
si2-b03m,3,2,10000000,candidate-eager-final,219bed6,sat,True,37803,26155330864,14218210208,6219179684,45407097,3.304845,e62355174f4b84b2
si2-b03m,3,2,10000000,candidate-eager-normalization,2bd403c,sat,True,37803,26147849919,11759845653,6217449866,45311985,2.743999,ac3a2eb165f34d53
