inproc_round: conflicts=82530 props_in_round=2456 window=47555 budget_w=47555 viv=2377/true sub_ck=1000000 tr=10000 orig=507928->507928 learned=33713->33713 yield=1530 db=541641 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=765 tred=0 tfailed=0 viv_short=175 viv_sub=57 pass_props els=0 bva=0 pure_sub=0 vivify=2381 tred=75 bva_n=0 \
inproc_round: conflicts=88190 props_in_round=2347 window=45323 budget_w=45323 viv=2266/true sub_ck=1000000 tr=10000 orig=507928->507928 learned=29518->29518 yield=1088 db=537446 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=544 tred=0 tfailed=0 viv_short=181 viv_sub=42 pass_props els=0 bva=0 pure_sub=0 vivify=2272 tred=75 bva_n=0 \
inproc_round: conflicts=93916 props_in_round=2430 window=46990 budget_w=46990 viv=2349/true sub_ck=1000000 tr=10000 orig=507928->507928 learned=35244->35244 yield=1536 db=543172 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=768 tred=0 tfailed=0 viv_short=150 viv_sub=44 pass_props els=0 bva=0 pure_sub=0 vivify=2355 tred=75 bva_n=0 \
inproc_round: conflicts=99705 props_in_round=2901 window=56429 budget_w=56429 viv=2821/true sub_ck=1000000 tr=10000 orig=507928->507928 learned=31636->31636 yield=924 db=539564 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=462 tred=0 tfailed=0 viv_short=242 viv_sub=35 pass_props els=0 bva=0 pure_sub=0 vivify=2826 tred=75 bva_n=0 \
inproc_round: conflicts=105555 props_in_round=2551 window=49367 budget_w=49367 viv=2468/true sub_ck=1000000 tr=10000 orig=507928->507928 learned=37486->37486 yield=894 db=545414 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=447 tred=0 tfailed=0 viv_short=169 viv_sub=35 pass_props els=0 bva=0 pure_sub=0 vivify=2476 tred=75 bva_n=0 \
inproc_round: conflicts=111464 props_in_round=3371 window=65827 budget_w=65827 viv=3291/true sub_ck=1000000 tr=10000 orig=507928->507928 learned=32726->32726 yield=996 db=540654 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=498 tred=0 tfailed=0 viv_short=44 viv_sub=21 pass_props els=0 bva=0 pure_sub=0 vivify=3296 tred=75 bva_n=0 \
inproc_round: conflicts=117430 props_in_round=3112 window=60700 budget_w=60700 viv=3035/true sub_ck=1000000 tr=10000 orig=507928->507928 learned=38692->38692 yield=548 db=546620 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=274 tred=0 tfailed=0 viv_short=41 viv_sub=16 pass_props els=0 bva=0 pure_sub=0 vivify=3037 tred=75 bva_n=0 \
inproc_round: conflicts=123451 props_in_round=4143 window=81091 budget_w=81091 viv=4054/true sub_ck=1000000 tr=10000 orig=507928->507928 learned=34275->34275 yield=422 db=542203 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=211 tred=0 tfailed=0 viv_short=101 viv_sub=18 pass_props els=0 bva=0 pure_sub=0 vivify=4068 tred=75 bva_n=0 \
inproc_round: conflicts=129526 props_in_round=3627 window=70899 budget_w=70899 viv=3544/true sub_ck=1013450 tr=10000 orig=507928->507928 learned=40350->40350 yield=592 db=548278 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=296 tred=0 tfailed=0 viv_short=106 viv_sub=10 pass_props els=0 bva=0 pure_sub=0 vivify=3552 tred=75 bva_n=0 \
inproc_round: conflicts=135652 props_in_round=3361 window=65632 budget_w=65632 viv=3281/true sub_ck=1079082 tr=10000 orig=507928->507928 learned=35922->35922 yield=1192 db=543850 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=596 tred=0 tfailed=0 viv_short=41 viv_sub=9 pass_props els=0 bva=0 pure_sub=0 vivify=3286 tred=75 bva_n=0 \
inproc_round: conflicts=141829 props_in_round=4038 window=79116 budget_w=79116 viv=3955/true sub_ck=1158198 tr=10000 orig=507928->507928 learned=42099->42099 yield=620 db=550027 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=310 tred=0 tfailed=0 viv_short=42 viv_sub=11 pass_props els=0 bva=0 pure_sub=0 vivify=3963 tred=75 bva_n=0 \
inproc_round: conflicts=148055 props_in_round=4526 window=88958 budget_w=88958 viv=4447/true sub_ck=1247156 tr=10000 orig=507928->507928 learned=38626->38626 yield=518 db=546554 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=259 tred=0 tfailed=0 viv_short=67 viv_sub=21 pass_props els=0 bva=0 pure_sub=0 vivify=4451 tred=75 bva_n=0 \
inproc_round: conflicts=154328 props_in_round=4354 window=85576 budget_w=85576 viv=4278/true sub_ck=1332732 tr=10000 orig=507928->507928 learned=44899->44899 yield=906 db=552827 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=453 tred=0 tfailed=0 viv_short=72 viv_sub=20 pass_props els=0 bva=0 pure_sub=0 vivify=4279 tred=75 bva_n=0 \
inproc_round: conflicts=160648 props_in_round=4422 window=86815 budget_w=86815 viv=4340/true sub_ck=1419547 tr=10000 orig=507928->507928 learned=40707->40707 yield=646 db=548635 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=323 tred=0 tfailed=0 viv_short=63 viv_sub=12 pass_props els=0 bva=0 pure_sub=0 vivify=4347 tred=75 bva_n=0 \
inproc_round: conflicts=167013 props_in_round=5674 window=111959 budget_w=111959 viv=5597/true sub_ck=1531506 tr=11195 orig=507928->507928 learned=47072->47072 yield=1062 db=555000 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=531 tred=0 tfailed=0 viv_short=147 viv_sub=30 pass_props els=0 bva=0 pure_sub=0 vivify=5599 tred=75 bva_n=0 \
inproc_round: conflicts=173422 props_in_round=5217 window=102836 budget_w=102836 viv=5141/true sub_ck=1634342 tr=10283 orig=507928->507928 learned=43515->43515 yield=924 db=551443 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=462 tred=0 tfailed=0 viv_short=108 viv_sub=22 pass_props els=0 bva=0 pure_sub=0 vivify=5142 tred=75 bva_n=0 \
inproc_round: conflicts=179874 props_in_round=5016 window=98802 budget_w=98802 viv=4940/true sub_ck=1733144 tr=10000 orig=507928->507928 learned=49967->49967 yield=858 db=557895 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=429 tred=0 tfailed=0 viv_short=131 viv_sub=25 pass_props els=0 bva=0 pure_sub=0 vivify=4941 tred=75 bva_n=0 \
