grid,mode,instance,previous_z3,current_z3,current_previous,baseline_min,baseline_median,baseline_max,candidate_min,candidate_median,candidate_max
confirmation,solver,wide-4x4,0.1531733468373139,0.15317868125578482,1.0000348260228107,3708795,3709732.0,3778015,3708659,3710141.5,3777640
confirmation,solver,wide-8x16,0.8975738987593096,0.8943674398869891,0.996427638017602,62891176,64314477.0,68581385,62892688,64280157.5,67952766
selection,certified,absent-4x4,0.17697280988907474,0.1769290691215822,0.9997528390518298,3915586,3939809.0,3957858,3914543,3939603.5,3959766
selection,certified,absent-8x16,0.9885349986472461,0.9836913704292995,0.9951001955170279,51236721,52295055.5,58808310,51222442,52077075.5,57683973
selection,certified,blocked-4x4,0.12162247629692194,0.12165348047051752,1.0002549214137024,3756612,3762823.0,3789937,3757052,3762664.5,3793087
selection,certified,blocked-8x16,0.3689626638938301,0.367415788376955,0.9958075012237004,60049268,61208244.0,68009345,60046486,61036335.0,66879759
selection,certified,present-16x32,17.430721443893834,17.093301554185686,0.9806422303979653,2932131183,3122394515.5,3260096091,2919315845,3057395036.0,3172263534
selection,certified,present-32x16,5.01666191164274,4.984396665213532,0.993568383319927,4983452997,5416030988.5,5719680638,4952942325,5389875803.0,5683888114
selection,certified,present-4x4,0.2187678974187522,0.21876157784311018,0.999971112874802,4804557,4873555.0,4884413,4804708,4877145.0,4885128
selection,certified,present-8x16,2.373084230625054,2.36805841412405,0.9978821584012294,123068911,127468683.0,132840917,122848408,127218052.0,132429154
selection,certified,shared-4x4,0.16794673482966005,0.16805869564928977,1.0006666448129715,3578497,3641964.5,3711879,3581141,3642600.5,3719084
selection,certified,shared-8x16,1.1323888371957227,1.128499149581335,0.9965650600865863,58723237,60929158.5,67429088,58513538,60804883.5,66495205
selection,certified,sparse-16x32,42.93166666207527,30.637646198589554,0.7136374751007292,14490313697,18346678554.0,21933958589,11699202600,12919964347.5,14215192958
selection,certified,sparse-32x16,8.275870239368137,6.759882025284087,0.8168182716456179,12931486464,15716093306.5,17418883624,12001670180,12606463036.0,12924849513
selection,certified,sparse-4x4,0.6336273785922836,0.6331050484163048,0.9991756508736424,18665244,18870160.0,19202032,18647669,18867965.5,19136942
selection,certified,sparse-8x16,6.601302128258872,6.202399330726098,0.939572104142128,642329298,702624640.0,804112096,627940928,663099096.0,716932866
selection,certified,unknown-16x32,4.880229104770358,4.581835932885084,0.9388567287561155,849018768,968422976.5,1029089898,821354253,908293726.5,957489599
selection,certified,unknown-32x16,1.1187717456803543,1.0849803386629004,0.9697959774655334,1015012059,1049953775.5,1153029320,996186517,1020553063.5,1105803258
selection,certified,unknown-4x4,0.16642632480621508,0.16644919216588283,1.000137402299152,3701073,3716487.0,3820481,3700869,3720493.5,3823034
selection,certified,unknown-8x16,1.0462533020784968,1.0425505799553552,0.996460969713753,53318562,54283592.0,58280549,53318522,54147925.0,57743298
selection,certified,wide-4x4,0.16649620514752086,0.16654585981649414,1.000298233037379,4064044,4065512.5,4160589,4065078,4067559.0,4161213
selection,certified,wide-8x16,0.9721389185980222,0.9692721545336493,0.9970510757161054,64405519,65770628.0,70008066,64407584,65538566.5,69484059
selection,solver,absent-4x4,0.15666640590653713,0.15669701808623798,1.000195397216932,3467237,3488052.5,3506757,3467370,3488379.0,3508185
selection,solver,absent-8x16,0.9528083029858774,0.9480296370148533,0.9949846512083818,49406841,50366324.0,56751910,49396057,50159697.5,55616435
selection,solver,blocked-4x4,0.10960085342290231,0.10957257185055286,0.999741958465959,3386454,3389001.5,3421492,3386546,3387550.0,3422525
selection,solver,blocked-8x16,0.3584017026677058,0.3568705546189014,0.9957278438204741,58249400,59420556.5,66149722,58235733,59235199.5,64968283
selection,solver,present-16x32,17.363221552676684,17.024729933422822,0.9805052525404375,2924384566,3109102090.0,3245480059,2910975381,3044124828.5,3156670889
selection,solver,present-32x16,5.007770008126011,4.975377632459342,0.9935315768068209,4974962024,5408106716.5,5710486693,4944501622,5379692786.5,5674533958
selection,solver,present-4x4,0.19934705864870808,0.19935410032913423,1.0000353237237303,4380617,4440153.5,4452551,4381437,4439741.0,4452303
selection,solver,present-8x16,2.338624194454937,2.333827440722373,0.9979488992956043,121285912,125662373.5,130955658,121040649,125418069.0,130583537
selection,solver,shared-4x4,0.1522159330704881,0.15222177076732446,1.000038351417743,3240981,3302766.5,3368230,3241029,3303724.5,3369656
selection,solver,shared-8x16,1.102278012060796,1.0982066000744135,0.9963063655975767,57136056,59335965.5,65636461,56926783,59207449.0,64629464
selection,solver,sparse-16x32,42.8616677302792,30.526383540240335,0.7122070875155255,14517160805,18316955679.0,21854180735,11719629423,12851483533.0,14140331760
selection,solver,sparse-32x16,8.253107413467553,6.7368628152700625,0.8162819745053531,12884531820,15677236864.5,17393596872,11945808978,12539714172.0,12891524909
selection,solver,sparse-4x4,0.5842514638659421,0.5839798178933641,0.9995350529876629,17200828,17398186.0,17697945,17201823,17398152.5,17646321
selection,solver,sparse-8x16,6.529011957230804,6.126983649934038,0.9384243266928738,637867287,695022410.5,795254782,621825605,656087788.0,707192381
selection,solver,unknown-16x32,4.822116468844104,4.524047765789393,0.9381871622179712,841305433,956369160.5,1014096643,814146889,896586204.5,941741386
selection,solver,unknown-32x16,1.1056194848501448,1.072760966568848,0.9702804457306118,1006304065,1034853012.0,1141159053,988001580,1006914788.0,1095067557
selection,solver,unknown-4x4,0.15061951669567739,0.1506387538232416,1.0001277200191998,3349222,3364821.5,3467214,3348891,3365270.5,3469856
selection,solver,unknown-8x16,1.0131418536565107,1.0094969651330772,0.996402390731092,51663823,52616848.0,56322784,51663829,52478324.0,55792994
selection,solver,wide-4x4,0.15195080789711402,0.15197606396685068,1.0001662121451422,3708547,3709743.5,3807214,3708263,3710194.5,3809424
selection,solver,wide-8x16,0.9481140883001651,0.9453319612946867,0.9970656200136564,62891947,64027524.5,68173186,62892270,63824993.5,67584797
