mode,instance,seed,baseline,candidate,z3
solver,blocked-8x16,14,69444941,61985429,173049185
solver,blocked-8x16,15,71685225,63021215,194195048
solver,blocked-8x16,16,80741162,69709886,149497837
solver,blocked-8x16,17,70902279,62285747,153356873
solver,blocked-8x16,18,69698688,61407555,200746647
solver,blocked-8x16,19,70846089,61963244,169219037
solver,wide-8x16,10,80417790,63514816,71183632
solver,wide-8x16,11,85583813,67288958,69545176
solver,wide-8x16,12,80425274,65260959,68217985
solver,wide-8x16,13,79767090,62981442,65228987
solver,wide-8x16,14,77377707,63548785,67773542
solver,wide-8x16,15,83362187,66956947,67829556
solver,wide-8x16,16,87115614,68421331,70323455
solver,wide-8x16,17,79569417,63938811,69211220
solver,wide-8x16,18,78570902,63265002,66060083
solver,wide-8x16,19,79767590,62981876,68495019
solver,sparse-8x16,10,995335206,729529190,107499315
solver,sparse-8x16,11,1006125258,729615272,108299111
solver,sparse-8x16,12,920566497,668877135,108685982
solver,sparse-8x16,13,1015291070,737288124,102545266
solver,sparse-8x16,14,1012071759,758238492,108764301
solver,sparse-8x16,15,965344946,712999539,114043668
solver,sparse-8x16,16,961823367,702693966,107117054
solver,sparse-8x16,17,999955987,722434023,104197632
solver,sparse-8x16,18,1001464427,745855979,106746116
solver,sparse-8x16,19,1102071928,830376342,104247760
certified,unknown-4x4,10,3731669,3716847,22060643
certified,unknown-4x4,11,3731425,3710045,22600097
certified,unknown-4x4,12,3712613,3694307,23652114
certified,unknown-4x4,13,3710318,3692763,21964006
certified,unknown-4x4,14,3743001,3724701,22287389
certified,unknown-4x4,15,3725140,3707599,22271230
certified,unknown-4x4,16,3720839,3695494,22700818
certified,unknown-4x4,17,3715148,3693120,22181718
certified,unknown-4x4,18,3839329,3814780,21841699
certified,unknown-4x4,19,3727387,3707229,22312460
certified,present-4x4,10,4853954,4867795,22138143
certified,present-4x4,11,4860468,4881045,22170003
certified,present-4x4,12,4795133,4811654,22451132
certified,present-4x4,13,4820782,4839227,22148549
certified,present-4x4,14,4850055,4862491,22218618
certified,present-4x4,15,4862643,4877295,22194808
certified,present-4x4,16,4796617,4808030,22231126
certified,present-4x4,17,4819898,4833850,22234090
certified,present-4x4,18,4853727,4867628,22168932
certified,present-4x4,19,4861335,4877853,22147445
certified,absent-4x4,10,3963749,3937791,22190315
certified,absent-4x4,11,3958626,3937480,22189054
certified,absent-4x4,12,3939344,3917210,22190155
certified,absent-4x4,13,3957477,3934797,22181823
certified,absent-4x4,14,3984165,3956777,22815796
certified,absent-4x4,15,3956270,3931951,22171047
certified,absent-4x4,16,3938842,3927123,22246711
certified,absent-4x4,17,3957052,3934458,22214497
certified,absent-4x4,18,3960512,3942738,22189734
certified,absent-4x4,19,3957018,3934149,22178098
certified,shared-4x4,10,3621234,3616318,21521101
certified,shared-4x4,11,3632874,3626070,21863560
certified,shared-4x4,12,3603547,3594017,21584627
certified,shared-4x4,13,3570494,3559903,21721378
certified,shared-4x4,14,3702619,3694220,21310250
certified,shared-4x4,15,3630444,3622288,21273368
certified,shared-4x4,16,3603923,3591601,21594337
certified,shared-4x4,17,3571239,3561100,22270981
certified,shared-4x4,18,3656706,3646767,22067126
certified,shared-4x4,19,3631335,3624067,21255784
certified,blocked-4x4,10,3741731,3782747,29527043
certified,blocked-4x4,11,3746971,3778214,29933444
certified,blocked-4x4,12,3748170,3776389,31590010
certified,blocked-4x4,13,3743251,3777412,30893134
certified,blocked-4x4,14,3780492,3804650,31050680
certified,blocked-4x4,15,3754390,3777864,33966723
certified,blocked-4x4,16,3740722,3777449,33157104
certified,blocked-4x4,17,3746313,3778812,30253817
certified,blocked-4x4,18,3741198,3777499,32870097
certified,blocked-4x4,19,3745156,3788342,26890622
certified,wide-4x4,10,4111553,4055743,24211377
certified,wide-4x4,11,4113111,4055882,24786664
certified,wide-4x4,12,4113430,4056258,25860267
certified,wide-4x4,13,4114389,4052075,24012958
certified,wide-4x4,14,4122003,4062074,24355778
certified,wide-4x4,15,4112094,4062088,24294611
certified,wide-4x4,16,4118227,4056311,24897770
certified,wide-4x4,17,4109416,4054168,24320834
certified,wide-4x4,18,4219539,4154902,23820917
certified,wide-4x4,19,4112599,4062031,24306485
certified,sparse-4x4,10,20459219,19006337,30660882
certified,sparse-4x4,11,20430711,18994435,29575652
certified,sparse-4x4,12,20553966,19117730,29825156
certified,sparse-4x4,13,20282415,18829042,28951044
certified,sparse-4x4,14,20754512,19340398,29900547
certified,sparse-4x4,15,20458711,19036531,28947905
certified,sparse-4x4,16,20538728,19071137,29540994
certified,sparse-4x4,17,20470536,19011311,29218157
certified,sparse-4x4,18,20466090,19054861,29903707
certified,sparse-4x4,19,20428113,18988974,31596764
certified,unknown-8x16,10,63518742,53995460,55422647
certified,unknown-8x16,11,68806853,57863843,53571566
certified,unknown-8x16,12,63739508,55442244,52380192
certified,unknown-8x16,13,62922923,53408507,50805946
certified,unknown-8x16,14,60474995,53160981,51922697
certified,unknown-8x16,15,66767541,57282706,52315530
certified,unknown-8x16,16,70018338,58645155,54141400
certified,unknown-8x16,17,63090342,54342011,53371492
certified,unknown-8x16,18,62446818,53963671,51103831
certified,unknown-8x16,19,63285109,53751632,52410102
certified,present-8x16,10,134675140,127152350,51745145
certified,present-8x16,11,132985581,126210342,54434768
certified,present-8x16,12,138532936,133050185,53133846
certified,present-8x16,13,130252369,123908176,51295518
certified,present-8x16,14,133400609,128540287,56215091
certified,present-8x16,15,138051185,131939262,62448897
certified,present-8x16,16,138235797,129739771,53382780
certified,present-8x16,17,128909380,122760614,52028707
certified,present-8x16,18,131343392,125500378,52514592
certified,present-8x16,19,129791664,123411636,51288659
certified,absent-8x16,10,65559522,54747083,52868455
certified,absent-8x16,11,62928798,52806802,52091930
certified,absent-8x16,12,61936017,53185251,53495973
certified,absent-8x16,13,61149722,51512793,51862637
certified,absent-8x16,14,59689755,51534578,55291283
certified,absent-8x16,15,62091022,52660072,61918016
certified,absent-8x16,16,71209285,59233860,52400317
certified,absent-8x16,17,61344484,52060273,53114085
certified,absent-8x16,18,60302462,51199891,51819306
certified,absent-8x16,19,61419702,51763650,51431712
certified,shared-8x16,10,73010205,62917777,52773259
certified,shared-8x16,11,70550042,61216411,52148327
certified,shared-8x16,12,70812148,62707454,55758032
certified,shared-8x16,13,67917479,59077542,53978088
certified,shared-8x16,14,66434892,59205207,56809506
certified,shared-8x16,15,71931408,63214720,58154191
certified,shared-8x16,16,78711811,67514185,53756324
certified,shared-8x16,17,66863612,58222141,53217784
certified,shared-8x16,18,66878318,58706167,54084349
certified,shared-8x16,19,68162886,59311252,54010211
certified,blocked-8x16,10,76721758,66727691,164165438
certified,blocked-8x16,11,74189978,64863962,127239966
